commit	val_auc	val_bacc	test_auc	test_bacc	composite	delta	vram_gb	elapsed_min	status	description
0d42217	0.866862	0.781736	0.864886	0.805488	0.835187	-0.010345	0.4	78.7	discard	noise001_p15_g1_no_inst_gc05
0d42217	0.846324	0.775493	0.859795	0.779980	0.819888	-0.025644	0.4	79.0	discard	ema99_g1_no_inst_gc05
0d42217	0.866067	0.789428	0.862941	0.788247	0.825594	-0.019938	0.4	72.1	discard	d015_p15_g1_no_inst_gc05
0d42217	0.839257	0.681053	0.780984	0.651794	0.716389	-0.129143	0.4	43.2	discard	sam_rho005_g1_no_inst_gc05
0d42217	0.863414	0.776430	0.872117	0.826399	0.849258	+0.003726	0.5	69.0	keep	rdrop_a1_g1_no_inst_gc05
0d42217	0.862656	0.788755	0.863809	0.784799	0.824304	-0.024954	0.4	72.4	discard	seed43_g1_no_inst_gc05
0d42217	0.866351	0.780798	0.868062	0.787672	0.827867	-0.021391	0.4	85.8	discard	lookahead_k5_g1_no_inst_gc05
0d42217	0.862618	0.784123	0.873841	0.798017	0.835929	-0.013329	0.5	66.4	discard	rdrop_a05_g1_no_inst_gc05
0d42217	0.862353	0.784123	0.871586	0.805709	0.838648	-0.010610	0.5	65.8	discard	rdrop_a2_g1_no_inst_gc05
0d42217	0.863149	0.784123	0.870437	0.805709	0.838073	-0.011185	0.5	68.7	discard	rdrop_a15_g1_no_inst_gc05
0d42217	0.862618	0.784123	0.872736	0.805709	0.839223	-0.010035	0.5	66.9	discard	rdrop_a075_g1_no_inst_gc05
0d42217	0.863679	0.784123	0.871785	0.798017	0.834901	-0.014357	0.5	71.6	discard	rdrop_a1_noise001_g1_no_inst_gc05
0d42217	0.862884	0.784123	0.870437	0.805709	0.838073	-0.011185	0.5	71.0	discard	rdrop_a1_d015_g1_no_inst_gc05
0d42217	0.863149	0.784123	0.871012	0.805709	0.838360	-0.010898	0.5	72.2	discard	rdrop_a1_wd5e5_g1_no_inst_gc05
0d42217	0.865536	0.788632	0.863496	0.804847	0.834172	-0.015086	0.5	90.1	discard	rdrop_a1_p15_g1_no_inst_gc05
0d42217	0.866862	0.786898	0.859505	0.779913	0.819709	-0.029549	0.5	66.8	discard	rdrop_a1_warm10_g1_no_inst_gc05
0d42217	0.863698	0.791142	0.870759	0.798017	0.834388	-0.014870	0.5	85.1	discard	rdrop_a1_lr2e4_g1_no_inst_gc05
0d42217	0.860477	0.784919	0.871312	0.805709	0.838510	-0.010748	0.5	65.6	discard	rdrop_a1_nowarm_g1_no_inst_gc05
0d42217	0.862050	0.792876	0.864134	0.793066	0.828600	-0.020658	0.5	73.1	discard	rdrop_a1_gc1_g1_no_inst
0d42217	0.863414	0.776430	0.872117	0.826399	0.849258	-0.000000	0.5	67.2	discard	rdrop_a1_bw07_g1_no_inst_gc05
0d42217	0.869515	0.787022	0.862378	0.783362	0.822870	-0.026388	0.5	53.0	discard	rdrop_a1_bs16_g1_no_inst_gc05
